train_dataset,x_param,target,test_dataset,k,b,MSE,RMAE,R2,mean_real,mean_pred
NOD,NOD,traverse_component,DEF,0.000370896266426186,7.579242693764009,17.23868649312845,0.06406626803400099,0.9710622469244629,49.40799533333333,52.09985021348453
NOD,NOD,traverse_component,LOC,0.000370896266426186,7.579242693764009,23.018261364245415,0.0702607344268033,0.9731709539130349,57.75053900000001,58.06857997812654
NOD,NOD,traverse_component,OCC,0.000370896266426186,7.579242693764009,18.592944079534497,0.056490127581172694,0.982085347982972,62.818566000000004,63.84230732173232
NOD,NOD,traverse_component,ALL,0.000370896266426186,7.579242693764009,18.010485302843364,0.06160523134562317,0.9781361742740962,56.21091837500001,57.21932767000252
