target,test_dataset,MSE,MAE,RMAE,R2,mean_real,mean_pred
rename,DEF,0.31364214486369624,0.5030524220693181,0.09504260356898193,0.9625436460552868,5.292915000000001,5.343428702291906
rename,LOC,0.28591402398814886,0.433189637180557,0.07236769367517461,0.9744767111030637,5.985953333333333,5.955976795826388
rename,NOD,0.2258098600245232,0.4074428981142932,0.07490537584928432,0.9719496055817952,5.439434666666666,5.541049100475873
rename,OCC,0.25044655997606247,0.4151583432960811,0.06541607822818107,0.978703514898264,6.346426666666666,6.37075420950528
rename,ALL,0.2689531472131077,0.43971082516506227,0.07625683570018787,0.9731727549977955,5.766182416666667,5.802802202024861
completion,DEF,86.61792095097843,7.760588614504327,0.07956359181645056,0.9630347655426214,97.53944533333333,104.22864649455236
completion,LOC,76.15799313053228,6.651532658729772,0.05817858003103005,0.9778151088541986,114.32958066666666,116.1590531461663
completion,NOD,75.29583274095931,7.430834488803935,0.06836856760036275,0.9725564423626655,108.68787733333335,109.75981699999997
completion,OCC,68.74971129675008,6.872434264000588,0.055863266744391696,0.9821361521504129,123.02242,127.70173208696728
completion,ALL,76.70536452980504,7.178847506509654,0.06473563693242769,0.9758606288529342,110.89483083333333,114.4623121819215
gotoDefinition,DEF,0.0016450343683044875,0.033641513439602665,nan,0.0,0.0,0.02894606758329723
gotoDefinition,LOC,0.038121347221742805,0.11340067835652924,1.2551357511200514,-0.2674289101979699,0.09034933333333334,0.021893189913193653
gotoDefinition,NOD,0.011323477184158649,0.058670983203360894,2.190850754419749,-0.3729555260833044,0.026780000000000005,0.026670666666666662
gotoDefinition,OCC,0.0015191818277015363,0.032370053260401786,nan,0.0,0.0,0.017117443502623033
gotoDefinition,ALL,0.013152260150476871,0.05952080706497365,2.0326524661618603,-0.20178995955709667,0.029282333333333334,0.023656841916445147
