target,test_dataset,document,real_value,pred_value
rename,LOC,d:/work24/souffle-lsp-plugin/gen_datasets/LOC/LOC_combined_7200/LOC_combined_7200.dl,8.664733333333334,7.917901140129719
rename,LOC,d:/work24/souffle-lsp-plugin/gen_datasets/LOC/LOC_combined_7600/LOC_combined_7600.dl,7.665933333333332,8.401853270994335
rename,LOC,d:/work24/souffle-lsp-plugin/gen_datasets/LOC/LOC_combined_800/LOC_combined_800.dl,0.6672333333333333,1.5568668506583287
rename,LOC,d:/work24/souffle-lsp-plugin/gen_datasets/LOC/LOC_combined_8000/LOC_combined_8000.dl,10.332866666666666,8.819983652294471
rename,LOC,d:/work24/souffle-lsp-plugin/gen_datasets/LOC/LOC_combined_8400/LOC_combined_8400.dl,9.999033333333335,9.093649599313228
rename,LOC,d:/work24/souffle-lsp-plugin/gen_datasets/LOC/LOC_combined_8800/LOC_combined_8800.dl,9.3336,9.539678941029837
rename,LOC,d:/work24/souffle-lsp-plugin/gen_datasets/LOC/LOC_combined_9200/LOC_combined_9200.dl,11.333233333333332,9.992558934939451
rename,LOC,d:/work24/souffle-lsp-plugin/gen_datasets/LOC/LOC_combined_9600/LOC_combined_9600.dl,10.332266666666667,10.407694114461446
rename,NOD,d:/work24/souffle-lsp-plugin/gen_datasets/NOD/NOD_combined_10000/NOD_combined_10000.dl,0.6673333333333332,1.1184576842794216
rename,NOD,d:/work24/souffle-lsp-plugin/gen_datasets/NOD/NOD_combined_100000/NOD_combined_100000.dl,3.9993,4.429392883715757
rename,NOD,d:/work24/souffle-lsp-plugin/gen_datasets/NOD/NOD_combined_110000/NOD_combined_110000.dl,5.665733333333333,5.010425183496949
rename,NOD,d:/work24/souffle-lsp-plugin/gen_datasets/NOD/NOD_combined_120000/NOD_combined_120000.dl,5.332633333333333,5.643850956249
rename,NOD,d:/work24/souffle-lsp-plugin/gen_datasets/NOD/NOD_combined_130000/NOD_combined_130000.dl,4.668633333333333,5.491611492088842
rename,NOD,d:/work24/souffle-lsp-plugin/gen_datasets/NOD/NOD_combined_140000/NOD_combined_140000.dl,5.996700000000001,6.264924119283282
rename,NOD,d:/work24/souffle-lsp-plugin/gen_datasets/NOD/NOD_combined_150000/NOD_combined_150000.dl,6.665166666666667,5.946508522376548
rename,NOD,d:/work24/souffle-lsp-plugin/gen_datasets/NOD/NOD_combined_160000/NOD_combined_160000.dl,6.998133333333333,6.857835268003309
rename,NOD,d:/work24/souffle-lsp-plugin/gen_datasets/NOD/NOD_combined_170000/NOD_combined_170000.dl,7.666566666666667,7.324110075124527
rename,NOD,d:/work24/souffle-lsp-plugin/gen_datasets/NOD/NOD_combined_180000/NOD_combined_180000.dl,6.997800000000001,7.637023623551227
